export_id;image_name;track_id;camera;direction;predicted_class;confidence;actual_class
104;vehicle_0104_ID609.jpg;609;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.7531;truck
105;vehicle_0105_ID639.jpg;639;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.6472;truck
106;vehicle_0106_ID643.jpg;643;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.6725;truck
107;vehicle_0107_ID659.jpg;659;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.5924;car
108;vehicle_0108_ID661.jpg;661;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.6554;car
109;vehicle_0109_ID687.jpg;687;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.7811;truck
110;vehicle_0110_ID710.jpg;710;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7295;truck
111;vehicle_0111_ID717.jpg;717;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.665;car
112;vehicle_0112_ID718.jpg;718;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.7642;car
113;vehicle_0113_ID737.jpg;737;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.5062;truck
114;vehicle_0114_ID739.jpg;739;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.6443;truck
115;vehicle_0115_ID747.jpg;747;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.8181;truck
116;vehicle_0116_ID770.jpg;770;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.5582;truck
117;vehicle_0117_ID776.jpg;776;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.7981;car
118;vehicle_0118_ID780.jpg;780;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.8535;truck
119;vehicle_0119_ID802.jpg;802;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.6206;car
120;vehicle_0120_ID4.jpg;4;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.8065;car
121;vehicle_0121_ID31.jpg;31;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.5025;car
122;vehicle_0122_ID45.jpg;45;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7582;truck
123;vehicle_0123_ID77.jpg;77;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.8208;truck
124;vehicle_0124_ID95.jpg;95;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.728;car
125;vehicle_0125_ID101.jpg;101;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.6946;truck
126;vehicle_0126_ID98.jpg;98;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.873;truck
127;vehicle_0127_ID100.jpg;100;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7904;truck
128;vehicle_0128_ID102.jpg;102;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.702;car
129;vehicle_0129_ID107.jpg;107;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.7258;truck
130;vehicle_0130_ID125.jpg;125;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.7059;car
131;vehicle_0131_ID131.jpg;131;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.6447;car
132;vehicle_0132_ID157.jpg;157;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.7719;truck
133;vehicle_0133_ID170.jpg;170;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.6375;car
134;vehicle_0134_ID207.jpg;207;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.7828;truck
135;vehicle_0135_ID230.jpg;230;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.8039;truck
136;vehicle_0136_ID243.jpg;243;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.8505;truck
137;vehicle_0137_ID266.jpg;266;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.5562;truck
138;vehicle_0138_ID267.jpg;267;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7322;truck
139;vehicle_0139_ID270.jpg;270;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.7706;truck
140;vehicle_0140_ID278.jpg;278;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.805;car
141;vehicle_0141_ID288.jpg;288;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.6453;car
142;vehicle_0142_ID290.jpg;290;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.5265;truck
143;vehicle_0143_ID302.jpg;302;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.6613;truck
144;vehicle_0144_ID24.jpg;24;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7616;truck
145;vehicle_0145_ID34.jpg;34;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.8534;truck
146;vehicle_0146_ID35.jpg;35;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.8755;truck
147;vehicle_0147_ID44.jpg;44;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.6528;car
148;vehicle_0148_ID38.jpg;38;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.7424;truck
149;vehicle_0149_ID51.jpg;51;CT-06 Cakung Timur 2;Jakarta → Cikampek;bus;0.782;truck
150;vehicle_0150_ID55.jpg;55;CT-06 Cakung Timur 2;Jakarta → Cikampek;bus;0.8271;bus
151;vehicle_0151_ID75.jpg;75;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7079;truck
152;vehicle_0152_ID80.jpg;80;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.8323;car
153;vehicle_0153_ID84.jpg;84;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.6032;car
154;vehicle_0154_ID86.jpg;86;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.6077;truck
155;vehicle_0155_ID89.jpg;89;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.7851;car
156;vehicle_0156_ID95.jpg;95;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.5692;car
157;vehicle_0157_ID147.jpg;147;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.5037;truck
158;vehicle_0158_ID148.jpg;148;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.5596;truck
159;vehicle_0159_ID159.jpg;159;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.7262;car
160;vehicle_0160_ID166.jpg;166;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.5337;truck
161;vehicle_0161_ID195.jpg;195;CT-06 Cakung Timur 2;Jakarta → Cikampek;motorcycle;0.5653;motorcycle
162;vehicle_0162_ID211.jpg;211;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.7101;car
163;vehicle_0163_ID225.jpg;225;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.7076;car
164;vehicle_0164_ID240.jpg;240;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.6539;truck
165;vehicle_0165_ID244.jpg;244;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.8374;car
166;vehicle_0166_ID260.jpg;260;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.5197;truck
167;vehicle_0167_ID262.jpg;262;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.7619;car
168;vehicle_0168_ID268.jpg;268;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.595;truck
169;vehicle_0169_ID289.jpg;289;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.5012;car
170;vehicle_0170_ID292.jpg;292;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.5598;truck
171;vehicle_0171_ID296.jpg;296;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.5552;car
172;vehicle_0172_ID302.jpg;302;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.852;truck
173;vehicle_0173_ID318.jpg;318;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.5758;car
174;vehicle_0174_ID337.jpg;337;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.6933;car
175;vehicle_0175_ID349.jpg;349;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.7063;car
176;vehicle_0176_ID346.jpg;346;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.5855;truck
177;vehicle_0177_ID397.jpg;397;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.8385;car
178;vehicle_0178_ID12.jpg;12;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.8403;truck
179;vehicle_0179_ID8.jpg;8;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.8269;truck
180;vehicle_0180_ID18.jpg;18;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.7608;truck
181;vehicle_0181_ID39.jpg;39;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.7321;truck
182;vehicle_0182_ID44.jpg;44;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.6835;truck
183;vehicle_0183_ID48.jpg;48;CT-06 Cakung Timur 2;Jakarta → Cikampek;bus;0.6176;truck
184;vehicle_0184_ID57.jpg;57;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.6102;car
185;vehicle_0185_ID70.jpg;70;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.7974;truck
186;vehicle_0186_ID69.jpg;69;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.8258;truck
187;vehicle_0187_ID74.jpg;74;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.6131;car
188;vehicle_0188_ID85.jpg;85;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.8261;bus
189;vehicle_0189_ID93.jpg;93;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.7916;bus
190;vehicle_0190_ID89.jpg;89;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.8193;car
191;vehicle_0191_ID87.jpg;87;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.7776;car
192;vehicle_0192_ID100.jpg;100;CT-06 Cakung Timur 2;Cikampek → Jakarta;motorcycle;0.5959;motorcycle
193;vehicle_0193_ID92.jpg;92;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7158;truck
194;vehicle_0194_ID111.jpg;111;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.6364;car
195;vehicle_0195_ID2.jpg;2;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.7939;car
196;vehicle_0196_ID26.jpg;26;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7772;truck
197;vehicle_0197_ID17.jpg;17;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.716;bus
198;vehicle_0198_ID51.jpg;51;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.5607;truck
199;vehicle_0199_ID45.jpg;45;CT-06 Cakung Timur 2;Cikampek → Jakarta;bus;0.6522;truck
200;vehicle_0200_ID46.jpg;46;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.7175;car
201,vehicle_0201_ID2.jpg,2,CT-06 Cakung Timur 2,Cikampek → Jakarta,car,0.678,
202,vehicle_0202_ID8.jpg,8,CT-06 Cakung Timur 2,Cikampek → Jakarta,car,0.6699,
203,vehicle_0203_ID1.jpg,1,CT-06 Cakung Timur 2,Cikampek → Jakarta,car,0.7202,
204,vehicle_0204_ID19.jpg,19,CT-06 Cakung Timur 2,Jakarta → Cikampek,motorcycle,0.5228,
205,vehicle_0205_ID24.jpg,24,CT-06 Cakung Timur 2,Cikampek → Jakarta,bus,0.8209,
206,vehicle_0206_ID34.jpg,34,CT-06 Cakung Timur 2,Cikampek → Jakarta,motorcycle,0.5368,
207,vehicle_0207_ID38.jpg,38,CT-06 Cakung Timur 2,Jakarta → Cikampek,car,0.5678,
208,vehicle_0208_ID36.jpg,36,CT-06 Cakung Timur 2,Jakarta → Cikampek,truck,0.7897,
209,vehicle_0209_ID4.jpg,4,CT-06 Cakung Timur 2,Jakarta → Cikampek,truck,0.634,
210,vehicle_0210_ID1.jpg,1,CT-06 Cakung Timur 2,Cikampek → Jakarta,car,0.6555,
211,vehicle_0211_ID9.jpg,9,CT-06 Cakung Timur 2,Jakarta → Cikampek,truck,0.5658,
212,vehicle_0212_ID14.jpg,14,CT-06 Cakung Timur 2,Jakarta → Cikampek,bus,0.5104,
213,vehicle_0213_ID8.jpg,8,CT-06 Cakung Timur 2,Jakarta → Cikampek,truck,0.7766,
214,vehicle_0214_ID28.jpg,28,CT-06 Cakung Timur 2,Cikampek → Jakarta,car,0.7265,
215,vehicle_0215_ID61.jpg,61,CT-06 Cakung Timur 2,Jakarta → Cikampek,truck,0.6391,
216,vehicle_0216_ID55.jpg,55,CT-06 Cakung Timur 2,Jakarta → Cikampek,truck,0.881,
217,vehicle_0217_ID72.jpg,72,CT-06 Cakung Timur 2,Jakarta → Cikampek,truck,0.7998,
218,vehicle_0218_ID86.jpg,86,CT-06 Cakung Timur 2,Jakarta → Cikampek,car,0.7361,
219,vehicle_0219_ID69.jpg,69,CT-06 Cakung Timur 2,Cikampek → Jakarta,truck,0.6932,
220,vehicle_0220_ID98.jpg,98,CT-06 Cakung Timur 2,Jakarta → Cikampek,truck,0.6994,
221,vehicle_0221_ID132.jpg,132,CT-06 Cakung Timur 2,Jakarta → Cikampek,car,0.8318,
222,vehicle_0222_ID154.jpg,154,CT-06 Cakung Timur 2,Jakarta → Cikampek,truck,0.7431,
223,vehicle_0223_ID153.jpg,153,CT-06 Cakung Timur 2,Cikampek → Jakarta,truck,0.5906,
224,vehicle_0224_ID165.jpg,165,CT-06 Cakung Timur 2,Cikampek → Jakarta,car,0.6167,
225,vehicle_0225_ID157.jpg,157,CT-06 Cakung Timur 2,Jakarta → Cikampek,car,0.6377,
226,vehicle_0226_ID171.jpg,171,CT-06 Cakung Timur 2,Jakarta → Cikampek,car,0.6087,
227,vehicle_0227_ID166.jpg,166,CT-06 Cakung Timur 2,Cikampek → Jakarta,car,0.5816,
228,vehicle_0228_ID209.jpg,209,CT-06 Cakung Timur 2,Jakarta → Cikampek,car,0.775,
229,vehicle_0229_ID216.jpg,216,CT-06 Cakung Timur 2,Jakarta → Cikampek,car,0.772,
230,vehicle_0230_ID224.jpg,224,CT-06 Cakung Timur 2,Jakarta → Cikampek,car,0.7367,
231,vehicle_0231_ID223.jpg,223,CT-06 Cakung Timur 2,Cikampek → Jakarta,car,0.7944,
232,vehicle_0232_ID243.jpg,243,CT-06 Cakung Timur 2,Jakarta → Cikampek,car,0.6779,
233,vehicle_0233_ID253.jpg,253,CT-06 Cakung Timur 2,Jakarta → Cikampek,motorcycle,0.5314,
234,vehicle_0234_ID254.jpg,254,CT-06 Cakung Timur 2,Cikampek → Jakarta,truck,0.554,
235,vehicle_0235_ID281.jpg,281,CT-06 Cakung Timur 2,Cikampek → Jakarta,car,0.7091,
236,vehicle_0236_ID289.jpg,289,CT-06 Cakung Timur 2,Jakarta → Cikampek,motorcycle,0.5115,
237,vehicle_0237_ID300.jpg,300,CT-06 Cakung Timur 2,Cikampek → Jakarta,car,0.7423,
238,vehicle_0238_ID320.jpg,320,CT-06 Cakung Timur 2,Jakarta → Cikampek,truck,0.6971,
239,vehicle_0239_ID318.jpg,318,CT-06 Cakung Timur 2,Jakarta → Cikampek,truck,0.5993,
240,vehicle_0240_ID6.jpg,6,CT-06 Cakung Timur 2,Cikampek → Jakarta,motorcycle,0.5014,
241,vehicle_0241_ID3.jpg,3,CT-06 Cakung Timur 2,Jakarta → Cikampek,car,0.7137,
242,vehicle_0242_ID23.jpg,23,CT-06 Cakung Timur 2,Cikampek → Jakarta,motorcycle,0.5277,
243,vehicle_0243_ID29.jpg,29,CT-06 Cakung Timur 2,Cikampek → Jakarta,car,0.7313,
244,vehicle_0244_ID18.jpg,18,CT-06 Cakung Timur 2,Cikampek → Jakarta,car,0.7661,
